De Queen ,AR,"5,948"
Mena ,AR,"5,630"
Crossett ,AR,"5,518"
Berryville ,AR,"5,247"
White Hall ,AR,"5,121"
Alma ,AR,"5,104"
Nashville ,AR,"4,815"
Cherokee Village ,AR,"4,778"
Farmington ,AR,"4,677"
Walnut Ridge ,AR,"4,664"
Dumas ,AR,"4,622"
Pea Ridge ,AR,"4,604"
Lonoke ,AR,"4,600"
Sheridan ,AR,"4,572"
Barling ,AR,"4,471"
Greenbrier ,AR,"4,452"
Ashdown ,AR,"4,440"
Dardanelle ,AR,"4,435"
Marianna ,AR,"4,396"
Prescott ,AR,"4,353"
Phoenix ,AZ,"1,567,924"
Tucson ,AZ,"541,811"
Mesa ,AZ,"463,552"
Glendale ,AZ,"251,522"
Chandler ,AZ,"247,140"
Scottsdale ,AZ,"235,371"
Gilbert,AZ,"216,449"
Tempe ,AZ,"175,523"
Peoria ,AZ,"157,960"
Surprise ,AZ,"92,897"
Yuma ,AZ,"90,041"
Avondale ,AZ,"81,299"
Flagstaff ,AZ,"60,222"
Goodyear ,AZ,"59,508"
Lake Havasu City ,AZ,"56,553"
Buckeye,AZ,"47,261"
Maricopa ,AZ,"45,571"
Oro Valley,AZ,"43,465"
Sierra Vista ,AZ,"43,320"
Prescott ,AZ,"42,697"
Casa Grande ,AZ,"41,152"
Bullhead City ,AZ,"40,868"
Prescott Valley,AZ,"38,535"
Marana,AZ,"34,466"
Apache Junction ,AZ,"32,776"
Kingman ,AZ,"27,817"
Fountain Hills,AZ,"25,227"
San Luis ,AZ,"24,909"
El Mirage ,AZ,"24,751"
Queen Creek,AZ,"24,361"
Sahuarita,AZ,"22,913"
Florence,AZ,"20,781"
Nogales ,AZ,"19,573"
Douglas ,AZ,"17,515"
Payson,AZ,"15,486"
Paradise Valley,AZ,"14,990"
Eloy ,AZ,"12,750"
Somerton ,AZ,"12,346"
Show Low ,AZ,"12,324"
Sedona ,AZ,"11,599"
Cottonwood ,AZ,"11,412"
Chino Valley,AZ,"11,078"
Camp Verde,AZ,"10,849"
Coolidge ,AZ,"10,261"
Winslow ,AZ,"9,867"
Safford ,AZ,"9,823"
Tolleson ,AZ,"7,199"
Globe ,AZ,"7,197"
Page ,AZ,"6,928"
Wickenburg,AZ,"6,620"
South Tucson ,AZ,"6,013"
Bisbee ,AZ,"5,991"
Guadalupe,AZ,"5,948"
Snowflake,AZ,"5,673"
Cave Creek,AZ,"5,428"
Litchfield Park ,AZ,"5,126"
Holbrook ,AZ,"5,081"
Thatcher,AZ,"5,002"
Youngtown,AZ,"4,896"
Benson ,AZ,"4,833"
Colorado City,AZ,"4,750"
Pinetop-Lakeside,AZ,"4,536"
Eagar,AZ,"4,488"
Los Angeles ,CA,"3,833,995"
San Diego ,CA,"1,279,329"
San Jose ,CA,"948,279"
San Francisco ,CA,"808,976"
Fresno ,CA,"476,050"
Sacramento ,CA,"463,794"
Long Beach ,CA,"463,789"
Oakland ,CA,"404,155"
Santa Ana ,CA,"339,130"
Anaheim ,CA,"335,288"
Bakersfield ,CA,"321,078"
Riverside ,CA,"295,357"
Stockton ,CA,"287,037"
Chula Vista ,CA,"219,318"
Irvine ,CA,"207,500"
Modesto ,CA,"202,967"
Fremont ,CA,"202,867"
San Bernardino ,CA,"198,580"
Glendale ,CA,"197,176"
Huntington Beach ,CA,"192,620"
Moreno Valley ,CA,"190,871"
Oxnard ,CA,"185,717"
Fontana ,CA,"184,984"
Ontario ,CA,"171,691"
Rancho Cucamonga ,CA,"171,176"
Oceanside ,CA,"169,684"
Santa Clarita ,CA,"169,500"
Garden Grove ,CA,"165,796"
Santa Rosa ,CA,"155,796"
Pomona ,CA,"152,699"
Corona ,CA,"149,923"
Lancaster ,CA,"145,469"
Salinas ,CA,"143,640"
Palmdale ,CA,"143,197"
Pasadena ,CA,"143,080"
Hayward ,CA,"142,061"
Torrance ,CA,"140,820"
Escondido ,CA,"137,103"
Orange ,CA,"136,392"
Elk Grove ,CA,"133,003"
Sunnyvale ,CA,"132,109"
Fullerton ,CA,"131,868"
Thousand Oaks ,CA,"123,091"
El Monte ,CA,"121,791"
Concord ,CA,"121,160"
Visalia ,CA,"121,040"
Simi Valley ,CA,"120,543"
Vallejo ,CA,"114,729"
Inglewood ,CA,"112,714"
Roseville ,CA,"112,660"
Victorville ,CA,"110,318"
Santa Clara ,CA,"110,200"
Costa Mesa ,CA,"110,080"
Downey ,CA,"107,587"
West Covina ,CA,"105,790"
Ventura,CA,"103,706"
Fairfield ,CA,"103,683"
Norwalk ,CA,"102,982"
Burbank ,CA,"102,968"
Richmond ,CA,"102,285"
Daly City ,CA,"101,514"
Berkeley ,CA,"101,371"
Antioch ,CA,"100,219"
Rialto ,CA,"98,700"
Murrieta ,CA,"97,918"
Temecula ,CA,"97,100"
South Gate ,CA,"96,640"
Carlsbad ,CA,"96,374"
Mission Viejo ,CA,"94,461"
Compton ,CA,"93,851"
El Cajon ,CA,"92,718"
Carson ,CA,"92,366"
Clovis ,CA,"92,318"
San Mateo ,CA,"92,256"
Vacaville ,CA,"92,219"
Vista ,CA,"91,144"
Redding ,CA,"90,201"
Westminster ,CA,"88,975"
Santa Monica ,CA,"87,664"
Santa Maria ,CA,"86,356"
Santa Barbara ,CA,"86,093"
Alhambra ,CA,"85,953"
Hesperia ,CA,"85,883"
Indio ,CA,"84,443"
Citrus Heights ,CA,"84,432"
Hawthorne ,CA,"84,305"
Chico ,CA,"83,791"
Chino ,CA,"83,031"
Whittier ,CA,"82,267"
Livermore ,CA,"80,188"
Newport Beach ,CA,"79,661"
Buena Park ,CA,"79,379"
Tracy ,CA,"79,196"
San Marcos ,CA,"79,114"
Lakewood ,CA,"78,444"
San Leandro ,CA,"77,880"
Baldwin Park ,CA,"77,380"
Merced ,CA,"77,160"
Lake Forest ,CA,"75,566"
Napa ,CA,"74,547"
Redwood City ,CA,"74,060"
Chino Hills ,CA,"73,879"
Bellflower ,CA,"73,033"
Union City ,CA,"72,123"
Upland ,CA,"72,091"
Tustin ,CA,"71,814"
Mountain View ,CA,"71,348"
Hemet ,CA,"70,991"
Alameda ,CA,"70,580"
Apple Valley,CA,"70,200"
Lynwood ,CA,"70,025"
Redlands ,CA,"69,689"
Turlock ,CA,"68,404"
Folsom ,CA,"67,788"
Milpitas ,CA,"67,503"
Redondo Beach ,CA,"66,882"
Pleasanton ,CA,"66,828"
Yorba Linda ,CA,"65,717"
Manteca ,CA,"65,028"
Laguna Niguel ,CA,"64,469"
Pittsburg ,CA,"64,148"
Walnut Creek ,CA,"63,486"
Camarillo ,CA,"63,324"
Pico Rivera ,CA,"63,138"
Davis ,CA,"62,593"
South San Francisco ,CA,"62,502"
Rancho Cordova ,CA,"62,265"
Montebello ,CA,"61,906"
San Clemente ,CA,"61,465"
Lodi ,CA,"61,301"
Monterey Park ,CA,"61,234"
Yuba City ,CA,"61,226"
Huntington Park ,CA,"60,898"
Encinitas ,CA,"60,372"
Palo Alto ,CA,"59,395"
La Habra ,CA,"59,155"
National City ,CA,"58,680"
Gardena ,CA,"58,554"
Diamond Bar ,CA,"57,235"
Madera ,CA,"56,700"
Tulare ,CA,"56,654"
Arcadia ,CA,"56,248"
Santa Cruz ,CA,"56,124"
Perris ,CA,"55,643"
San Rafael ,CA,"55,602"
Fountain Valley ,CA,"55,516"
Paramount ,CA,"55,236"
La Mesa ,CA,"54,673"
Petaluma ,CA,"54,666"
Woodland ,CA,"54,567"
Rosemead ,CA,"54,412"
Santee ,CA,"53,860"
Cupertino ,CA,"53,637"
Delano ,CA,"53,051"
Rocklin ,CA,"52,811"
Novato ,CA,"52,785"
Cathedral City ,CA,"52,095"
Porterville ,CA,"51,830"
Cerritos ,CA,"51,326"
